title,year,rating,actors,duration,url
Animal Crackers,1930,7.5,"['Groucho Marx', ' Harpo Marx', ' Chico Marx', ' The Marx Brothers']",97,https://www.imdb.com/title/tt0020640/
Hell's Angels,1930,7.3,"['Ben Lyon', ' James Hall', ' Jean Harlow', ' John Darrow']",127,https://www.imdb.com/title/tt0020960/
Zemlya,1930,7.3,"['Stepan Shkurat', ' Semyon Svashenko', ' Yuliya Solntseva', ' Yelena Maksimova']",75,https://www.imdb.com/title/tt0021571/
L'âge d'or,1930,7.3,"['Gaston Modot', ' Lya Lys', ' Caridad de Laberdesque', ' Max Ernst']",60,https://www.imdb.com/title/tt0021577/
All Quiet on the Western Front,1930,8.1,"['Lew Ayres', ' Louis Wolheim', ' John Wray', ' Arnold Lucy']",152,https://www.imdb.com/title/tt0020629/
City Lights,1931,8.5,"['Charles Chaplin', ' Virginia Cherrill', ' Florence Lee', ' Harry Myers']",87,https://www.imdb.com/title/tt0021749/
The Public Enemy,1931,7.6,"['James Cagney', ' Jean Harlow', ' Edward Woods', ' Joan Blondell']",83,https://www.imdb.com/title/tt0022286/
Dr. Jekyll and Mr. Hyde,1931,7.6,"['Fredric March', ' Miriam Hopkins', ' Rose Hobart', ' Holmes Herbert']",98,https://www.imdb.com/title/tt0022835/
Dracula de vampier,1931,7.5,"['Bela Lugosi', ' Helen Chandler', ' David Manners', ' Dwight Frye']",75,https://www.imdb.com/title/tt0021814/
Monkey Business,1931,7.5,"['Groucho Marx', ' Harpo Marx', ' The Marx Brothers', ' Chico Marx']",77,https://www.imdb.com/title/tt0022158/
Scarface,1932,7.8,"['Paul Muni', ' Ann Dvorak', ' Karen Morley', ' Osgood Perkins']",93,https://www.imdb.com/title/tt0023427/
Trouble in Paradise (De firma Adam & Eva),1932,8.0,"['Miriam Hopkins', ' Kay Francis', ' Herbert Marshall', ' Charles Ruggles']",83,https://www.imdb.com/title/tt0023622/
Otona no miru ehon - Umarete wa mita keredo,1932,8.0,"['Tatsuo Saitô', ' Tomio Aoki', ' Mitsuko Yoshikawa', ' Hideo Sugawara']",100,https://www.imdb.com/title/tt0023634/
Ik ben een vluchteling,1932,8.2,"['Paul Muni', ' Glenda Farrell', ' Helen Vinson', ' Noel Francis']",92,https://www.imdb.com/title/tt0023042/
